START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,date,time,day to night
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016-01-01,21:11,Night
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,NOT,2016-01-02,01:25,Night
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016-01-02,20:25,Night
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016-01-05,17:31,Day
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016-01-06,14:42,Day
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016-01-06,17:15,Day
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016-01-06,17:30,Day
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,2016-01-07,13:27,Day
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,2016-01-10,08:05,Day
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,2016-01-10,12:17,Day
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,2016-01-10,15:08,Day
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,2016-01-10,18:18,Night
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,2016-01-10,19:12,Night
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,2016-01-11,08:55,Day
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016-01-11,11:56,Day
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016-01-11,13:32,Day
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016-01-11,14:30,Day
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016-01-12,12:33,Day
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016-01-12,12:53,Day
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016-01-12,14:42,Day
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016-01-12,15:13,Day
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016-01-12,15:42,Day
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,2016-01-12,16:02,Day
,,Business,Downtown,Gulfton,11.2,Meeting,,,Night
,,Business,Gulfton,Downtown,11.8,Meeting,,,Night
,,Business,Houston,Houston,21.9,Customer Visit,,,Night
,,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,,,Night
,,Business,Morrisville,Cary,8.0,Errand/Supplies,,,Night
,,Business,Cary,Durham,10.4,Meal/Entertain,,,Night
,,Business,Durham,Cary,10.4,Meal/Entertain,,,Night
,,Business,Cary,Cary,4.8,Meal/Entertain,,,Night
,,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,,,Night
,,Business,Whitebridge,Lake Wellingborough,7.2,NOT,,,Night
,,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,,,Night
,,Business,Cary,Raleigh,17.1,Meeting,,,Night
,,Business,Fayetteville Street,Umstead,15.1,Meeting,,,Night
,,Business,Raleigh,Cary,40.2,Customer Visit,,,Night
,,Business,Cary,Cary,1.6,Errand/Supplies,,,Night
,,Business,Cary,Cary,2.4,Meal/Entertain,,,Night
,,Business,Cary,Cary,1.0,Meal/Entertain,,,Night
,,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,,,Night
,,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,,,Night
,,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,,,Night
,,Business,Cary,Cary,1.4,Errand/Supplies,,,Night
,,Business,Cary,Cary,0.5,Errand/Supplies,,,Night
,,Business,Cary,Cary,1.8,Meeting,,,Night
,,Business,Cary,Raleigh,18.7,Customer Visit,,,Night
,,Business,Fairmont,Meredith Townes,3.4,Customer Visit,,,Night
,,Business,Raleigh,Raleigh,2.7,Customer Visit,,,Night
,,Business,Raleigh,Cary,12.9,Customer Visit,,,Night
,,Business,Cary,Raleigh,19.0,Temporary Site,,,Night
,,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,,,Night
,,Business,Raleigh,Cary,15.7,Meeting,,,Night
,,Business,Cary,Cary,4.6,Customer Visit,,,Night
,,Business,Cary,Cary,5.2,Meeting,,,Night
,,Business,Cary,Durham,10.4,Meeting,,,Night
,,Business,Durham,Cary,10.1,Meeting,,,Night
,,Business,Cary,Apex,5.8,Errand/Supplies,,,Night
,,Business,Apex,Cary,5.5,Meal/Entertain,,,Night
,,Business,Cary,Apex,5.7,Errand/Supplies,,,Night
,,Business,Apex,Cary,5.7,Customer Visit,,,Night
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01,10:35,Day
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01,12:10,Day
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01,12:56,Day
2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2016-02-02,13:04,Day
2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,2016-02-02,13:51,Day
2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,2016-02-02,14:38,Day
2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,2016-02-04,08:40,Day
2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,2016-02-04,09:37,Day
2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,10:26,Day
2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,2016-02-04,15:59,Day
2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,16:35,Day
2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,2016-02-04,18:04,Night
2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,2016-02-04,20:36,Night
2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,2016-02-05,11:47,Day
2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,2016-02-05,13:22,Day
2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,2016-02-06,16:20,Day
2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,2016-02-06,18:57,Night
2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,2016-02-06,19:28,Night
2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,2016-02-07,16:49,Day
2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,2016-02-07,18:03,Night
2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,2016-02-07,18:39,Night
2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,2016-02-07,20:22,Night
2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,2016-02-08,12:57,Day
2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,2016-02-08,14:00,Day
2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,NOT,2016-02-09,10:54,Day
2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,NOT,2016-02-09,11:43,Day
2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,NOT,2016-02-09,13:36,Day
2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,NOT,2016-02-09,13:58,Day
2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,NOT,2016-02-09,18:55,Night
2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,2016-02-09,20:24,Night
2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,2016-02-11,16:28,Day
2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,2016-02-11,17:49,Day
2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,2016-02-11,18:24,Night
2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,2016-02-11,20:36,Night
2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,2016-02-12,08:21,Day
2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,2016-02-12,10:45,Day
2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,2016-02-12,11:14,Day
2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,2016-02-12,13:02,Day
2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,2016-02-12,14:49,Day
2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,2016-02-12,15:33,Day
,,Business,Cary,Morrisville,8.9,Meeting,,,Night
,,Personal,East Elmhurst,Jackson Heights,2.7,NOT,,,Night
,,Personal,Jackson Heights,East Elmhurst,1.8,NOT,,,Night
,,Business,East Elmhurst,New York,8.1,Meeting,,,Night
,,Business,Midtown,Midtown West,2.0,Meeting,,,Night
,,Business,New York,Long Island City,13.0,Meeting,,,Night
,,Business,Long Island City,Jamaica,13.9,Meeting,,,Night
,,Business,Katunayaka,Unknown Location,43.7,Customer Visit,,,Night
,,Business,Unknown Location,Colombo,14.1,NOT,,,Night
,,Business,Colombo,Colombo,2.6,NOT,,,Night
,,Business,Colombo,Colombo,4.5,NOT,,,Night
,,Business,Colombo,Colombo,1.7,NOT,,,Night
,,Business,Colombo,Colombo,1.8,Temporary Site,,,Night
,,Business,Colombo,Colombo,6.0,NOT,,,Night
,,Business,Colombo,Nugegoda,1.1,Meal/Entertain,,,Night
,,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,,,Night
,,Business,Unknown Location,Colombo,14.7,Temporary Site,,,Night
,,Business,Colombo,Colombo,1.7,Meal/Entertain,,,Night
,,Business,Colombo,Katunayaka,21.4,Temporary Site,,,Night
,,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,,,Night
,,Business,Unknown Location,Unknown Location,23.5,Temporary Site,,,Night
,,Business,Unknown Location,Islamabad,12.7,Temporary Site,,,Night
,,Business,Islamabad,Unknown Location,6.0,Temporary Site,,,Night
,,Business,Unknown Location,Islamabad,5.2,Customer Visit,,,Night
,,Business,Islamabad,Unknown Location,10.0,Meeting,,,Night
,,Business,Unknown Location,Unknown Location,18.3,Meeting,,,Night
,,Business,Unknown Location,Unknown Location,11.2,Meeting,,,Night
,,Business,Unknown Location,Islamabad,7.6,Meeting,,,Night
,,Personal,Islamabad,Islamabad,1.5,NOT,,,Night
,,Personal,Islamabad,Islamabad,1.0,NOT,,,Night
,,Business,Islamabad,Unknown Location,7.3,Temporary Site,,,Night
,,Business,Unknown Location,Islamabad,3.5,NOT,,,Night
,,Business,Islamabad,Islamabad,4.2,NOT,,,Night
,,Personal,Islamabad,Unknown Location,13.6,NOT,,,Night
,,Personal,Unknown Location,Unknown Location,2.5,NOT,,,Night
,,Personal,Unknown Location,Islamabad,14.4,NOT,,,Night
,,Personal,Islamabad,Islamabad,3.0,NOT,,,Night
,,Personal,Islamabad,Islamabad,1.5,NOT,,,Night
,,Business,Islamabad,R?walpindi,18.4,NOT,,,Night
,,Business,R?walpindi,R?walpindi,23.1,Meeting,,,Night
,,Personal,R?walpindi,Unknown Location,16.5,NOT,,,Night
,,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,,,Night
,,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,,,Night
,,Business,Unknown Location,Islamabad,14.5,NOT,,,Night
,,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,,,Night
,,Business,Islamabad,Islamabad,4.6,Errand/Supplies,,,Night
,,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,,,Night
,,Business,Unknown Location,Unknown Location,8.3,Temporary Site,,,Night
,,Business,Unknown Location,Unknown Location,22.7,Temporary Site,,,Night
,,Business,Unknown Location,Islamabad,13.0,Temporary Site,,,Night
,,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,,,Night
,,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,,,Night
,,Business,Unknown Location,Unknown Location,9.7,NOT,,,Night
,,Business,Unknown Location,R?walpindi,20.0,Meeting,,,Night
,,Business,Morrisville,Cary,8.1,Customer Visit,,,Night
,,Business,Whitebridge,Preston,1.5,NOT,,,Night
,,Business,Preston,Whitebridge,1.7,Errand/Supplies,,,Night
,,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,,,Night
,,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,,,Night
,,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,,,Night
,,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,,,Night
,,Business,Whitebridge,Westpark Place,6.3,NOT,,,Night
,,Personal,Westpark Place,Whitebridge,1.7,NOT,,,Night
,,Business,Cary,Durham,10.6,Meeting,,,Night
,,Business,Durham,Cary,9.9,Meeting,,,Night
,,Personal,Whitebridge,Westpark Place,1.9,NOT,,,Night
,,Personal,Westpark Place,Hazelwood,4.2,NOT,,,Night
,,Personal,Hazelwood,Whitebridge,2.0,NOT,,,Night
,,Business,Whitebridge,Waverly Place,7.7,Meeting,,,Night
,,Business,Waverly Place,Whitebridge,6.8,Meeting,,,Night
,,Personal,Whitebridge,Westpark Place,2.1,NOT,,,Night
,,Business,Cary,Apex,3.8,Meeting,,,Night
,,Business,Apex,Cary,5.6,Meeting,,,Night
,,Business,Whitebridge,Hazelwood,2.6,NOT,,,Night
,,Business,Hazelwood,Whitebridge,6.6,Customer Visit,,,Night
2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,2016-03-01,18:47,Night
2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,2016-03-01,21:27,Night
2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,NOT,2016-03-03,09:45,Day
2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,2016-03-03,11:04,Day
2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,2016-03-03,14:44,Day
2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,2016-03-03,15:27,Day
2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,2016-03-03,16:02,Day
2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,2016-03-04,07:47,Day
2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,2016-03-04,09:46,Day
2016-03-04 11:46:00,2016-03-04 12:06:00,Business,Cary,Durham,10.4,Meeting,2016-03-04,11:46,Day
2016-03-04 13:03:00,2016-03-04 13:25:00,Business,Durham,Cary,10.9,Meeting,2016-03-04,13:03,Day
2016-03-04 13:40:00,2016-03-04 14:09:00,Business,Cary,Raleigh,15.7,Customer Visit,2016-03-04,13:40,Day
2016-03-04 15:56:00,2016-03-04 16:08:00,Business,Raleigh,Raleigh,4.9,Meal/Entertain,2016-03-04,15:56,Day
2016-03-04 16:16:00,2016-03-04 16:22:00,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,2016-03-04,16:16,Day
2016-03-04 16:43:00,2016-03-04 17:12:00,Business,Raleigh,Cary,13.5,Meeting,2016-03-04,16:43,Day
2016-03-04 19:02:00,2016-03-04 19:08:00,Business,Cary,Morrisville,1.9,Temporary Site,2016-03-04,19:02,Night
2016-03-04 19:16:00,2016-03-04 19:25:00,Business,Morrisville,Cary,2.0,Meal/Entertain,2016-03-04,19:16,Night
2016-03-05 11:44:00,2016-03-05 11:59:00,Business,Cary,Morrisville,6.5,Meal/Entertain,2016-03-05,11:44,Day
2016-03-05 12:57:00,2016-03-05 13:12:00,Personal,Weston,Weston,4.2,NOT,2016-03-05,12:57,Day
2016-03-05 14:08:00,2016-03-05 14:18:00,Personal,Morrisville,Cary,3.5,NOT,2016-03-05,14:08,Day
2016-03-05 14:39:00,2016-03-05 15:01:00,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,2016-03-05,14:39,Day
2016-03-05 16:52:00,2016-03-05 17:13:00,Business,Cary,Morrisville,7.8,Meal/Entertain,2016-03-05,16:52,Day
2016-03-05 17:23:00,2016-03-05 17:34:00,Business,Morrisville,Cary,3.9,Meal/Entertain,2016-03-05,17:23,Day
2016-03-07 09:10:00,2016-03-07 09:20:00,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,2016-03-07,09:10,Day
2016-03-07 09:23:00,2016-03-07 09:47:00,Business,Cary,Raleigh,12.4,Customer Visit,2016-03-07,09:23,Day
2016-03-07 12:10:00,2016-03-07 12:26:00,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,2016-03-07,12:10,Day
2016-03-07 13:57:00,2016-03-07 14:18:00,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,2016-03-07,13:57,Day
2016-03-07 15:19:00,2016-03-07 15:45:00,Business,Raleigh,Cary,11.9,Between Offices,2016-03-07,15:19,Day
2016-03-08 14:38:00,2016-03-08 14:55:00,Business,Whitebridge,Waverly Place,7.2,Between Offices,2016-03-08,14:38,Day
2016-03-08 15:35:00,2016-03-08 16:00:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,2016-03-08,15:35,Day
2016-03-08 16:13:00,2016-03-08 16:25:00,Personal,Whitebridge,Whitebridge,1.6,NOT,2016-03-08,16:13,Day
2016-03-10 03:36:00,2016-03-10 03:53:00,Business,Cary,Morrisville,8.4,Meeting,2016-03-10,03:36,Night
2016-03-10 10:08:00,2016-03-10 10:37:00,Business,East Austin,West University,12.8,Meeting,2016-03-10,10:08,Day
2016-03-10 14:39:00,2016-03-10 14:55:00,Business,West University,South Congress,2.3,NOT,2016-03-10,14:39,Day
2016-03-10 16:18:00,2016-03-10 16:28:00,Business,South Congress,Arts District,1.6,NOT,2016-03-10,16:18,Day
2016-03-11 09:47:00,2016-03-11 09:59:00,Business,The Drag,Congress Ave District,2.0,Meal/Entertain,2016-03-11,09:47,Day
2016-03-11 10:29:00,2016-03-11 10:36:00,Business,Congress Ave District,Downtown,0.8,NOT,2016-03-11,10:29,Day
2016-03-11 11:57:00,2016-03-11 12:04:00,Business,Downtown,Red River District,1.2,NOT,2016-03-11,11:57,Day
2016-03-11 13:43:00,2016-03-11 13:51:00,Business,Red River District,Downtown,1.0,NOT,2016-03-11,13:43,Day
2016-03-11 19:21:00,2016-03-11 19:35:00,Business,South Congress,The Drag,2.1,NOT,2016-03-11,19:21,Night
2016-03-12 09:13:00,2016-03-12 09:22:00,Business,The Drag,South Congress,2.2,NOT,2016-03-12,09:13,Day
2016-03-12 18:27:00,2016-03-12 18:37:00,Personal,South Congress,The Drag,1.9,NOT,2016-03-12,18:27,Night
,,Business,The Drag,Convention Center District,5.7,Meal/Entertain,,,Night
,,Business,South Congress,North Austin,8.4,Meal/Entertain,,,Night
,,Business,Georgian Acres,The Drag,6.2,Meal/Entertain,,,Night
,,Business,The Drag,North Austin,10.5,Meal/Entertain,,,Night
,,Business,North Austin,Coxville,7.2,Meal/Entertain,,,Night
,,Business,Coxville,The Drag,12.5,NOT,,,Night
,,Business,The Drag,South Congress,2.0,Errand/Supplies,,,Night
,,Business,South Congress,The Drag,2.7,NOT,,,Night
,,Business,The Drag,Convention Center District,2.0,Meal/Entertain,,,Night
,,Business,Downtown,The Drag,2.8,Meal/Entertain,,,Night
,,Business,The Drag,Congress Ave District,1.7,Meal/Entertain,,,Night
,,Business,Convention Center District,West University,2.0,NOT,,,Night
,,Business,West University,Congress Ave District,2.1,Meal/Entertain,,,Night
,,Personal,Downtown,The Drag,1.7,NOT,,,Night
,,Business,Austin,Katy,136.0,Customer Visit,,,Night
,,Business,Katy,Houston,30.2,Meeting,,,Night
,,Business,Midtown,Alief,15.5,Meal/Entertain,,,Night
,,Personal,Houston,Houston,4.9,NOT,,,Night
,,Personal,Houston,Houston,12.6,NOT,,,Night
,,Personal,Sharpstown,Midtown,10.4,NOT,,,Night
,,Business,Midtown,Midtown,1.1,Meal/Entertain,,,Night
,,Business,Midtown,Midtown,1.1,Meal/Entertain,,,Night
,,Business,Midtown,Sharpstown,13.2,Meeting,,,Night
,,Business,Sharpstown,Sharpstown,1.0,Errand/Supplies,,,Night
,,Business,Sharpstown,Midtown,9.2,Customer Visit,,,Night
,,Business,Midtown,Sharpstown,9.4,Meal/Entertain,,,Night
,,Business,Houston,Sugar Land,12.0,Customer Visit,,,Night
,,Business,Sugar Land,Houston,35.1,Customer Visit,,,Night
,,Business,Houston,Galveston,36.5,Meal/Entertain,,,Night
,,Business,Galveston,Port Bolivar,3.1,Meal/Entertain,,,Night
,,Business,Port Bolivar,Port Bolivar,2.1,Errand/Supplies,,,Night
,,Business,Port Bolivar,Port Bolivar,1.2,NOT,,,Night
,,Business,Port Bolivar,Galveston,7.5,Meeting,,,Night
,,Business,Galveston,Houston,57.0,Customer Visit,,,Night
,,Business,Midtown,Washington Avenue,5.9,Meeting,,,Night
,,Business,Washington Avenue,Midtown,6.2,Meeting,,,Night
,,Business,Midtown,Sharpstown,10.4,NOT,,,Night
,,Personal,Sharpstown,Briar Meadow,1.2,NOT,,,Night
,,Business,Briar Meadow,Midtown,9.6,Customer Visit,,,Night
,,Personal,Midtown,Downtown,1.0,NOT,,,Night
,,Business,Downtown,Midtown,0.9,Meal/Entertain,,,Night
,,Business,Midtown,Sharpstown,8.8,NOT,,,Night
,,Business,Sharpstown,Midtown,25.6,Meal/Entertain,,,Night
,,Business,Midtown,Greater Greenspoint,23.0,Meal/Entertain,,,Night
,,Personal,Morrisville,Cary,8.1,NOT,,,Night
,,Personal,Whitebridge,Whitebridge,1.4,NOT,,,Night
,,Personal,Whitebridge,Preston,1.7,NOT,,,Night
,,Personal,Preston,Whitebridge,1.6,NOT,,,Night
,,Personal,Whitebridge,Westpark Place,2.0,NOT,,,Night
,,Business,Westpark Place,Whitebridge,2.2,NOT,,,Night
,,Business,Cary,Latta,144.0,Customer Visit,,,Night
,,Business,Latta,Jacksonville,310.3,Customer Visit,,,Night
,,Business,Jacksonville,Kissimmee,201.0,Meeting,,,Night
,,Personal,Couples Glen,Isles of Buena Vista,6.7,NOT,,,Night
,,Personal,Kissimmee,Orlando,8.8,NOT,,,Night
,,Personal,Lake Reams,Lake Reams,1.2,NOT,,,Night
,,Business,Lake Reams,Lake Reams,2.1,Errand/Supplies,,,Night
,,Business,Orlando,Kissimmee,6.6,Meal/Entertain,,,Night
,,Business,Kissimmee,Orlando,6.1,Customer Visit,,,Night
,,Personal,Orlando,Orlando,6.9,NOT,,,Night
